127.0.0.1 - - [25/Jan/2024:16:40:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:40:48 +0530] "GET /webmvc-assignments/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:40:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:40:48 +0530] "GET /webmvc-assignments/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:43:24 +0530] "GET /webmvc-assignments/register HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:43:24 +0530] "GET /webmvc-assignments/register HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:43:48 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:43:48 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:44:44 +0530] "GET /webmvc-assignments/Registration.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:44:44 +0530] "GET /webmvc-assignments/Registration.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:45:08 +0530] "POST /webmvc-assignments/register HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:45:08 +0530] "GET /webmvc-assignments/register HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:47:21 +0530] "POST /webmvc-assignments/register HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:47:21 +0530] "GET /webmvc-assignments/register HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:47:45 +0530] "POST /webmvc-assignments/register HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:47:45 +0530] "GET /webmvc-assignments/register HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:59:22 +0530] "GET /webmvc-assignments/LandingPage.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Jan/2024:16:59:22 +0530] "GET /webmvc-assignments/LandingPage.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:00:50 +0530] "GET /webmvc-assignments/LandingPage.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:00:50 +0530] "GET /webmvc-assignments/LandingPage.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:00:55 +0530] "GET /webmvc-assignments/Login.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:00:55 +0530] "GET /webmvc-assignments/Login.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:01:07 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:01:08 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:12:05 +0530] "GET /webmvc-assignments/Login.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:12:06 +0530] "POST /webmvc-assignments/login HTTP/1.1" 500 28450
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:12:06 +0530] "GET /webmvc-assignments/login HTTP/1.1" 500 28450
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:14:46 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:14:46 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:14:46 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:15:00 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:15:00 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:15:59 +0530] "GET /webmvc-assignments/Login.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:03 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:03 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:31 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:31 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:39 +0530] "POST /webmvc-assignments/login HTTP/1.1" 500 12018
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:16:39 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:33:39 +0530] "GET /webmvc-assignments/Login.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:33:43 +0530] "POST /webmvc-assignments/login HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [25/Jan/2024:17:33:43 +0530] "GET /webmvc-assignments/login HTTP/1.1" 405 749
